"VFID","VF_Name","VFcategory","arm","scenario","cases","n","prevalence","HR","lo","hi","p","HR_perSD","lo_perSD","hi_perSD","ph_term","ph_global","FDR"
"VF0394","Flagella","Motility","abundance","base_cc",43,1699,0.189983669025585,2.17017416295119,1.49347652975635,3.15348504225187,4.829276040454e-05,1.55196894214229,1.25550195474062,1.91844193334759,0.588355533112544,0.817653720885813,0.00159366109334982
"VF0333","T2SS","Effector delivery system","abundance","base_cc",43,1699,0.369080021774633,1.78638810309303,1.30675107219649,2.44207372220353,0.000275595488451802,1.62371141672187,1.2504643709443,2.10836776005223,0.679415971752308,0.813111675501427,0.00454732555945473
"VF0568","AcrAB","Antimicrobial activity/Competitive advantage","abundance","base_cc",43,1699,0.188894937397931,2.2191731735914,1.41862370006285,3.47148406879819,0.00047983043219134,1.51035034857619,1.19827868896355,1.90369585677712,0.687722333837414,0.829756297579434,0.00527813475410474
"VF0227","Chu","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.272182906913446,1.78471572465621,1.27385428058443,2.50045100635356,0.00076027298067357,1.51640707037632,1.19002216087337,1.93230889196187,0.488534138113612,0.777874124217725,0.00607816774857943
"VF1138","Curli fibers","Adherence","abundance","base_cc",43,1699,0.323897659227001,1.81446902201689,1.25686494780143,2.61945234260687,0.00147073324828325,1.51319000170247,1.17227520076201,1.95324782078811,0.39405719561941,0.773588229219968,0.00607816774857943
"VF0560","Capsule","Immune modulation","abundance","base_cc",43,1699,0.22591181273816,1.8960882873586,1.27747701528042,2.81425869151101,0.00149617067142843,1.47020724043179,1.1589529065542,1.86505363383976,0.423541437904476,0.772276751547678,0.00607816774857943
"VF0571","RcsAB","Regulation","abundance","base_cc",43,1699,0.225367446924333,2.21647631642327,1.35283973920974,3.63144807095559,0.0015791376002364,1.47938088775682,1.16032174214156,1.88617323245258,0.681809234169002,0.837699831883059,0.00607816774857943
"VF0404","ECP","Adherence","abundance","base_cc",43,1699,0.337506804572673,1.71781121518464,1.22774971895938,2.40348283159474,0.00159198413793344,1.51198030525777,1.16974006218864,1.95435252444891,0.888529932438223,0.812083187848169,0.00607816774857943
"VF0228","Enterobactin","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.348938486663038,1.58532721250346,1.18966528191368,2.11257940272174,0.00165768211324893,1.51926964315753,1.17073378273292,1.97156713393191,0.689269853412211,0.82156956444785,0.00607816774857943
"VF0112","RpoS","Regulation","abundance","base_cc",43,1699,0.246053347849755,2.07414685205183,1.30329572645796,3.30092785278175,0.00208826066181745,1.47368281487719,1.15118925586529,1.88651955167178,0.911199460113159,0.840820516748883,0.00689126018399758
"VF0565","Aerobactin","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.0658682634730539,2.51470873273795,1.3747077669035,4.60007585812412,0.00276388162646441,1.31668342430242,1.09959724256717,1.57662748933897,0.152894020675704,0.62612188426245,0.00829164487939324
"VF0239","K1 capsule","Invasion","abundance","base_cc",43,1699,0.255851932498639,1.58963195224713,1.14008054091618,2.21644844633027,0.00627569627918195,1.40445852877275,1.10083445611753,1.79182596264223,0.884538976309234,0.818824697947105,0.0164006503720624
"VF0213","Adhesive fimbriae","Adherence","abundance","base_cc",43,1699,0.0930865541643985,2.02608958820628,1.21888305781269,3.367869454847,0.00646086226778218,1.34476820770395,1.08658131902159,1.66430390509536,0.346179842210353,0.77994036746828,0.0164006503720624
"VF0111","PhoPQ","Regulation","abundance","base_cc",43,1699,0.193249863908547,1.99432671953283,1.20144605815244,3.31045995552961,0.00758974056168473,1.38757764910236,1.09098989704697,1.76479336563968,0.925333873968935,0.831902425941858,0.0178901027525426
"VF0221","Type 1 fimbriae","Adherence","abundance","base_cc",43,1699,0.39412084921067,1.53098145871533,1.10104322286433,2.12880310078339,0.0113310425125535,1.41455891014149,1.08153680278121,1.85012373607175,0.970974961071048,0.824066889948897,0.0237202174840371
"VF0256","Shu","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.152966793685357,2.05850208739223,1.1758819463462,3.60361927229607,0.0115007115074119,1.35019741424647,1.0697007878872,1.7042457835696,0.413764590388829,0.762595897915213,0.0237202174840371
"VF0572","Allantion utilization","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.142079477408819,1.93066593382514,1.14223029393614,3.26332699090651,0.0140266443195118,1.344591921922,1.06168005506176,1.70289290815841,0.777000670554114,0.816694121139479,0.0272281919143463
"VF0229","Aerobactin","Nutritional/Metabolic factor","abundance","base_cc",43,1699,0.101252041371802,1.66639681678403,1.07908932354284,2.57335355878693,0.0212606095383277,1.2710637380044,1.03639846451411,1.55886281327825,0.126140903164701,0.57924339150137,0.0389777841536007
"VF0237","Ibes","Invasion","abundance","base_cc",43,1699,0.26619488296135,1.62679505386625,1.06694182244731,2.48041841795399,0.0237541785783417,1.34686978804613,1.04044898036738,1.74353405133896,0.968992242629307,0.831185040742494,0.0404297026789585
"VF0236","OmpA","Invasion","abundance","base_cc",43,1699,0.201959716929777,1.84357761331708,1.08181628828546,3.14173344691502,0.0245028501084597,1.33247165559349,1.03759069614674,1.71115712539982,0.999514075575836,0.836099831380211,0.0404297026789585
"VF0238","AslA","Invasion","abundance","base_cc",43,1699,0.195427327163854,1.77253307844068,1.06169003095995,2.95931338012621,0.0286030622125013,1.31178808445871,1.02878840702894,1.67263546786783,0.367980552048878,0.759874166630263,0.0449476691910735
"VF0113","Fur","Regulation","abundance","base_cc",43,1699,0.227544910179641,1.77170489125877,1.03307768531062,3.03843386256711,0.0376865016699232,1.31538158599776,1.0157195478475,1.70345123360939,0.784446802139601,0.832094861194776,0.0565297525048848
"VF1110","TTSS secreted effectors","Effector delivery system","abundance","base_cc",43,1699,0.0832879695155144,1.74584648995487,1.01838653691531,2.99294998117322,0.0427391264476308,1.2604820873618,1.00759767168387,1.57683481930319,0.340929840102505,0.764900665919473,0.0592942555783277
"VF0220","P fimbriae","Adherence","abundance","base_cc",43,1699,0.224823081110506,1.49899788975046,1.01259083852492,2.21905491140886,0.0431230949660565,1.27473114184231,1.00753114337501,1.61279330635817,0.153865551950158,0.617833898314743,0.0592942555783277
